city,tmpd,dptp,date,pm25tmean2,pm10tmean2,o3tmean2,no2tmean2
chic,31.5,31.5,1/1/1987,,34,4.25,19.98809524
chic,33,29.875,1/2/1987,,,3.304347826,23.19099379
chic,33,27.375,1/3/1987,,34.16666667,3.333333333,23.81547619
chic,29,28.625,1/4/1987,,47,4.375,30.43452381
chic,32,28.875,1/5/1987,,,4.75,30.33333333
chic,40,35.125,1/6/1987,,48,5.833333333,25.77233067
chic,34.5,26.75,1/7/1987,,41,9.291666667,20.58170996
chic,29,22,1/8/1987,,36,11.29166667,17.03723086
chic,26.5,29,1/9/1987,,33.28571429,4.5,23.38888889
chic,32.5,27.75,1/10/1987,,,4.958333333,19.54166667
chic,29.5,20.125,1/11/1987,,22,17.54166667,13.70138889
chic,34.5,26,1/12/1987,,26,8,33.02083333
chic,34,32.25,1/13/1987,,53,4.958333333,38.06141775
chic,37.5,36.375,1/14/1987,,43,4.208333333,32.19444444
chic,32.5,24.25,1/15/1987,,28.83333333,4.458333333,18.87130952
chic,25,21.5,1/16/1987,,19,7.916666667,19.46666667
chic,27,24.75,1/17/1987,,,5.833333333,20.70833333
chic,17.5,11.125,1/18/1987,,39,6.375,21.03333333
chic,23,15.75,1/19/1987,,32,14.875,17.1740942
chic,20.5,11.5,1/20/1987,,38,7.25,21.6102108
chic,22,20.625,1/21/1987,,32.85714286,8.913043478,24.52083333
chic,19.5,7.375,1/22/1987,,52,10.5,16.9879776
chic,2.5,-12.25,1/23/1987,,55,14.625,14.6625
chic,2,-5.625,1/24/1987,,38,10.08333333,18.69166667
chic,9.5,-5.25,1/25/1987,,,6.666666667,26.30416667
chic,16,4.75,1/26/1987,,71,4.583333333,32.42142857
chic,17.5,17.75,1/27/1987,,39.33333333,6,30.69305556
chic,29.5,18.25,1/28/1987,,47,6.875,29.12942834
chic,29.5,32.875,1/29/1987,,35,2.916666667,28.14528986
chic,32.5,24.125,1/30/1987,,59,8.791666667,19.79861111
chic,27.5,26.5,1/31/1987,,36,10.375,25.26736111
chic,41,32.25,2/1/1987,,,8.041666667,21.70138889
chic,36.5,34,2/2/1987,,41.16666667,6.041666667,30.78472222
chic,34,26.25,2/3/1987,,59,8.041666667,20.14614899
chic,31.5,24.25,2/4/1987,,37,10.5,29.99927536
chic,29.5,27.25,2/5/1987,,70,5.729166667,38.90909091
chic,37,30.375,2/6/1987,,63,6.414855073,27.994709
chic,40.5,35.75,2/7/1987,,44,5.75,25.09027778
chic,32.5,3.5,2/8/1987,,18.25,24.9375,10.6468254
chic,24.5,17.375,2/9/1987,,42,9.208333333,25.57986111
chic,35,27.375,2/10/1987,,36,8.3125,31.32745938
chic,39.5,29.375,2/11/1987,,83,8.121541502,42.00112538
chic,34,24.75,2/12/1987,,84,7.6875,34.99305556
chic,34.5,30.875,2/13/1987,,39,10.36956522,33.43085749
chic,31.5,22,2/14/1987,,24.85714286,11.16666667,21.24305556
chic,23.5,10.125,2/15/1987,,12,28.10416667,10.49097222
chic,24,18.125,2/16/1987,,14,24.1875,15.85416667
chic,31.5,20.25,2/17/1987,,23,24.9375,19.18055556
chic,31.5,20,2/18/1987,,27,24.17028986,29.86011905
chic,34,19.625,2/19/1987,,49,15.50181159,44.48067633
chic,32.5,17,2/20/1987,,69.85714286,8.5,51.25324675
chic,38,24.5,2/21/1987,,59,4.583333333,41.38194444
chic,35.5,25.125,2/22/1987,,46,10.83333333,21.86111111
chic,35.5,24.75,2/23/1987,,47,13.04166667,32.5625
chic,31.5,25.25,2/24/1987,,48,13.22916667,36.47743742
chic,34.5,21.875,2/25/1987,,48,17.125,38.13771645
chic,36,18.5,2/26/1987,,29,16,32.85416667
chic,39.5,28.25,2/27/1987,,56,14.20833333,33.69196429
chic,40,38.375,2/28/1987,,31,6.875,23.45833333
chic,39,28.375,3/1/1987,,15,15.62083333,18.61458333
chic,41,27.875,3/2/1987,,36,20.8125,21.63194444
chic,36.5,14.875,3/3/1987,,32,19.75,28.57820843
chic,38,26.75,3/4/1987,,39.42857143,5.5,38.40972222
chic,44,34.375,3/5/1987,,30,13.58333333,29.38888889
chic,48.5,39.5,3/6/1987,,76,9.076086957,47.16998792
chic,59.5,36.875,3/7/1987,,49,25.41666667,41.74305556
chic,54.5,33.625,3/8/1987,,61,31.16666667,39.04513889
chic,31,14,3/9/1987,,25,29.83333333,12.46938131
chic,25.5,13.625,3/10/1987,,19.57142857,28.375,19.74716336
chic,28.5,17,3/11/1987,,38,19.77083333,29.90609903
chic,33.5,22.375,3/12/1987,,72,20.4375,41.12752525
chic,34,33.125,3/13/1987,,47,22.47916667,31.55555556
chic,37,33,3/14/1987,,49,17.72916667,27.65277778
chic,35,24.5,3/15/1987,,,36.89583333,18.03472222
chic,37.5,17.875,3/16/1987,,27,36.37228261,22.42361111
chic,38.5,19.375,3/17/1987,,55,27.8125,25.98611111
chic,39.5,30.25,3/18/1987,,63,18.66666667,32.20779915
chic,41.5,26.125,3/19/1987,,32,31.67559524,33.29601449
chic,43,16.625,3/20/1987,,28,36.625,45.95833333
chic,43.5,22.5,3/21/1987,,40,38.20833333,43.90307971
chic,48,32.375,3/22/1987,,37.85714286,37.66666667,36.23958333
chic,53.5,35.25,3/23/1987,,70,31.45416667,33.73864734
chic,57.5,46.125,3/24/1987,,58,25.625,30.55555556
chic,45,40.125,3/25/1987,,14,14.875,23.20454546
chic,45,40.25,3/26/1987,,43,15.11742424,23.49368687
chic,43,38.5,3/27/1987,,47,16.4375,32.31502525
chic,46,35,3/28/1987,,34.5,20.10416667,31.18055556
chic,39.5,30.125,3/29/1987,,37,20.97222222,22.34027778
chic,29,12.875,3/30/1987,,27,30.4375,19.65567633
chic,30,19,3/31/1987,,43,24.0448718,24.61111111
chic,41.5,22.875,4/1/1987,,36,21.453125,19.29861111
chic,29.5,14.625,4/2/1987,,44,22.56634964,22.03653382
chic,28,17.375,4/3/1987,,22.42857143,16.86979167,35.4814326
chic,35.5,17.125,4/4/1987,,26,28.390625,21.28125
chic,43.5,33,4/5/1987,,18,36.03125,12.19097222
chic,50,21.25,4/6/1987,,19,31.80208333,19.85574495
chic,49.5,30.875,4/7/1987,,28,25.49479167,28.24621212
chic,40,31.375,4/8/1987,,19,21.01041667,28.99124396
chic,50,28.5,4/9/1987,,78.28571429,15.40104167,57.52542271
chic,59.5,44.875,4/10/1987,,69,21.859375,39.35416667
chic,51,45.625,4/11/1987,,24,28.97395833,23.14583333
chic,49.5,43.125,4/12/1987,,37,25.67857143,26.02083333
chic,48,47.25,4/13/1987,,47,17.76785714,37.9324495
chic,52.5,51.5,4/14/1987,,33,13.24404762,35.72222222
chic,51.5,50.125,4/15/1987,,30,17.14285714,32.02006478
chic,54,49.25,4/16/1987,,28,22.10714286,30.75
chic,57.5,47,4/17/1987,,43,19.30952381,44.20833333
chic,61.5,49.875,4/18/1987,,106,31.52976191,55.41666667
chic,64,53,4/19/1987,,,32.83928571,45.15972222
chic,71,55.75,4/20/1987,,55,41.390625,40.53472222
chic,56,39,4/21/1987,,36.2,20.46875,19.17783816
chic,47,45.625,4/22/1987,,28,9.078125,23.23421717
chic,52,43.75,4/23/1987,,26,10.0946558,23.49305556
chic,49,30.75,4/24/1987,,16,27.57291667,20.6611564
chic,51,32.5,4/25/1987,,30,28.0625,27.76666667
chic,57,33.875,4/26/1987,,58,33.14583333,33.45833333
chic,56.5,31.625,4/27/1987,,37.33333333,35.92760417,27.05208333
chic,53.5,28.625,4/28/1987,,72,22.64583333,32.03653382
chic,64.5,34.625,4/29/1987,,61,34.85227273,24.10606061
