INSTNM,STABBR,REGION,ADM_RATE,UGDS,COSTT4_A,MD_EARN_WNE_P10,MD_EARN_WNE_P6,DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,LO_INC_RPY_3YR_RT_SUPP,MD_INC_RPY_3YR_RT_SUPP,HI_INC_RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_4_POOLED_SUPP,RET_FT4_POOLED_SUPP,isNCF
Alabama A & M University,AL,SE,0.9027,4824,22886,31000,25200,13246,0.253155427,0.221905305,0.293029872,0.337539432,0.2594,0.3629,0.5828,FALSE
University of Alabama at Birmingham,AL,SE,0.9181,12866,24129,41200,35100,14979.5,0.513963161,0.468220339,0.533925174,0.582733813,0.53,0.5844,0.8312,FALSE
Amridge University,AL,SE,,322,15080,39600,30700,10430,0.230769231,0.166172107,,,0.2424,,,FALSE
University of Alabama in Huntsville,AL,SE,0.8123,6917,22108,46700,36200,13522,0.54850903,0.461609621,0.575362319,0.672131148,0.4864,0.5198,0.8251,FALSE
Alabama State University,AL,SE,0.9787,4189,19413,27700,22600,15738,0.218586747,0.195054945,0.257611241,0.331914894,0.2468,0.2927,0.6082,FALSE
The University of Alabama,AL,SE,0.533,32387,28836,44500,37400,17340,0.601944299,0.483844581,0.583029197,0.712941177,0.6828,0.6845,0.8669,FALSE
Central Alabama Community College,AL,SE,,1404,10045,27700,23100,5764,0.251005632,0.194565217,0.367768595,0.543209877,,,,FALSE
Athens State University,AL,SE,,2801,,38700,33400,13461,0.503816794,0.418032787,0.570458404,0.634615385,,,,FALSE
Auburn University at Montgomery,AL,SE,0.8254,4211,19892,33300,30100,10750,0.44188862,0.358166189,0.523054755,0.597938144,0.2488,0.2666,0.6747,FALSE
Auburn University,AL,SE,0.8393,23391,30458,48800,39500,17000,0.723961298,0.614874816,0.715172414,0.789281364,0.758,0.7433,0.9125,FALSE
Birmingham Southern College,AL,SE,0.6186,1283,50400,46700,33400,19500,0.755991285,0.651785714,0.795774648,0.785365854,0.6729,0.6323,0.792,FALSE
Chattahoochee Valley Community College,AL,SE,,1370,6854,28900,22300,6500,0.28125,0.208333333,0.43877551,0.473684211,,,,FALSE
Concordia College Alabama,AL,SE,,389,27620,20600,20000,9500,0.156507414,0.154761905,,,0.129,0.1518,0.4328,FALSE
South University-Montgomery,AL,SE,,369,26613,33400,26900,10919,0.254758584,0.210557279,0.323293501,0.491299304,0.1379,0.0222,0.2973,FALSE
Enterprise State Community College,AL,SE,,1365,9289,31800,27000,5000,0.426041667,0.322357019,0.601593626,0.545454546,,,,FALSE
Coastal Alabama Community College,AL,SE,,4101,12558,29100,23800,5500,0.348990523,0.264876633,0.43837535,0.504477612,,,,FALSE
Faulkner University,AL,SE,0.5101,2272,31720,35400,29700,14450,0.308162375,0.226127321,0.401140684,0.59922179,0.303,0.2533,0.5627,FALSE
Gadsden State Community College,AL,SE,,4349,9701,26700,21200,,,,,,,,,FALSE
New Beginning College of Cosmetology,AL,SE,,83,,,,5500,0.420560748,0.350649351,,,,,,FALSE
George C Wallace Community College-Dothan,AL,SE,,3836,9298,24700,21400,,,,,,,,,FALSE
George C Wallace State Community College-Hanceville,AL,SE,,4805,11408,32200,26900,7750,0.439739414,0.329206528,0.56189451,0.667582418,,,,FALSE
George C Wallace State Community College-Selma,AL,SE,,1217,14571,23300,19500,,,,,,,,,FALSE
Herzing University-Birmingham,AL,SE,0.757,537,27797,37800,27900,11766,0.304110543,0.245060548,0.426702997,0.594810379,0.3077,0.2683,,FALSE
Huntingdon College,AL,SE,0.5598,1099,34675,39900,32600,16950,0.514603616,0.383802817,0.504201681,0.715736041,0.3776,0.4408,0.6333,FALSE
Heritage Christian University,AL,SE,1,59,,,,,,,,,,,,FALSE
J. F. Drake State Community and Technical College,AL,SE,,685,11514,23800,19100,,,,,,,,,FALSE
J F Ingram State Technical College,AL,SE,,449,5496,,,,,,,,,,,FALSE
Jacksonville State University,AL,SE,0.5402,6622,20890,35800,28700,16450,0.421039226,0.335290977,0.475285171,0.54200542,0.3639,0.3423,0.7602,FALSE
Jefferson Davis Community College,AL,SE,,720,11677,26200,23300,,,,,,,,,FALSE
